year,group_ID,authorID,orignal_ID,original_format,plotted
1987,a,Moller,Hollensted,matrix,no
1987,b,Moller,Bronderslev,matrix,no
1987,c,Moller,Pandrup,matrix,no
1997,a,Solberg,H1,matrix,no
1997,b,Solberg,S2,matrix,no
1997,c,Solberg,Y2,matrix,no
1997,d,Solberg,H2,matrix,no
1997,e,Solberg,S1,matrix,no
2004,a,Lendvai,flock1,sequence,no
2004,b,Lendvai,flock2,sequence,no
2004,c,Lendvai,flock3,sequence,no
2004,d,Lendvai,flock4,sequence,no
2006,a,Bokony,flock1,sequence,no
2006,b,Bokony,flock2,sequence,no
2009,a,Toth,flock1,sequence,no
2009,b,Toth,flock2,sequence,no
2009,c,Toth,flock3,sequence,no
2010,a,Bokony,flock1,sequence,no
2010,b,Bokony,flock2,sequence,no
2010,c,Bokony,flock3,sequence,no
2010,d,Bokony,flock4,sequence,no
2016,a,Rojas,aviary2,matrix,no
2016,b,Rojas,aviary3,matrix,no
2016,c,Rojas,aviary4,matrix,no
2016,d,Rojas,aviary5,matrix,no
2016,e,Rojas,aviary6,matrix,no
2016,f,Rojas,aviary7,matrix,no
2016,g,Rojas,aviary8,matrix,no
2016,h,Rojas,aviary9,matrix,no
2016,i,Rojas,aviary10,matrix,no
2016,j,Rojas,aviary11,matrix,no
2016,k,Rojas,aviary12,matrix,no
2016,l,Rojas,aviary13,matrix,no
2016,m,Rojas,aviary14,matrix,no
2016,n,Rojas,aviary15,matrix,no
2016,o,Rojas,aviary16,matrix,no
2014,a,Sanchez-Tojar,aviary9,sequence,no
2014,b,Sanchez-Tojar,aviary10,sequence,no
2014,c,Sanchez-Tojar,aviary11,sequence,no
2014,d,Sanchez-Tojar,aviary12,sequence,no
2017,a,Sanchez-Tojar,2013.5,sequence,no
2017,b,Sanchez-Tojar,2014,sequence,no
2017,c,Sanchez-Tojar,2014.5,sequence,no
2017,d,Sanchez-Tojar,2015,sequence,no
2017,e,Sanchez-Tojar,2015.5,sequence,no
2017,f,Sanchez-Tojar,2016,sequence,no
2017,g,Sanchez-Tojar,2016.5,sequence,no
2001,a,Liker,flock1,matrix,no
2003,a,Hein,2000barnB,matrix,no
2003,b,Hein,2000barnD,matrix,no
2005,a,Westneat,aviary1,sequence,no
2005,b,Westneat,aviary2,sequence,no
2005,c,Westneat,aviary3,sequence,no
2005,d,Westneat,aviary4,sequence,no
2005,e,Westneat,aviary5,sequence,no
2005,f,Westneat,aviary6,sequence,no
2005,g,Westneat,aviary7,sequence,no
2005,h,Westneat,aviary8,sequence,no
2005,i,Westneat,aviary9,sequence,no
2005,j,Westneat,aviary10,sequence,no
2005,k,Westneat,aviary11,sequence,no
2005,l,Westneat,aviary12,sequence,no
2005,m,Westneat,aviary13,sequence,no
2005,n,Westneat,aviary14,sequence,no
2005,o,Westneat,aviary15,sequence,no
2005,p,Westneat,aviary16,sequence,no
2003,c,Hein,98-99barnD,sequence,no
2003,d,Hein,98-99barnB,sequence,no
